,win,is_home,rest_days,rolling_win_pct_3,opp_rolling_win_pct_3,win_pct_diff_3,rolling_off_epa_3,opp_rolling_off_epa_3,epa_diff_3,rolling_point_diff_3,opp_rolling_point_diff_3,point_diff_gap_3
count,1088.0,1088.0,1088.0,992.0,992.0,992.0,992.0,992.0,992.0,992.0,992.0,992.0
mean,0.4990808823529412,0.5,7.419117647058823,0.49899193548387094,0.4989919354838709,3.581364595565021e-18,0.00720670761428409,0.007206707614284086,-3.581364595565021e-18,5.730183352904034e-17,-2.865091676452017e-17,5.730183352904034e-17
std,0.5002290927624611,0.5002299379289169,2.049722837399602,0.3318147256467063,0.33181472564670633,0.4714045207910317,0.1420673716175834,0.14206737161758343,0.20180152288489797,9.518618786308137,9.518618786308137,13.522870794806085
min,0.0,0.0,4.0,0.0,0.0,-1.0,-0.44153579334788634,-0.44153579334788634,-0.7000068818371483,-27.666666666666668,-27.666666666666668,-40.66666666666667
25%,0.0,0.0,7.0,0.3333333333333333,0.3333333333333333,-0.3333333333333333,-0.08995690243137781,-0.08995690243137781,-0.13716265640266476,-7.0,-7.0,-9.0
50%,0.0,0.5,7.0,0.3333333333333333,0.3333333333333333,0.0,0.014932041533875598,0.014932041533875598,0.0,0.3333333333333333,0.3333333333333333,0.0
75%,1.0,1.0,7.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.10627919331868897,0.10627919331868897,0.13716265640266476,6.666666666666667,6.666666666666667,9.0
max,1.0,1.0,15.0,1.0,1.0,1.0,0.42442042374242456,0.42442042374242456,0.7000068818371483,26.0,26.0,40.66666666666667
