,win,is_home,rest_days,rolling_win_pct_3,opp_rolling_win_pct_3,win_pct_diff_3,rolling_off_epa_3,opp_rolling_off_epa_3,epa_diff_3,rolling_point_diff_3,opp_rolling_point_diff_3,point_diff_gap_3
win,1.0,0.07862919206326406,0.0013831204785514511,0.22086950246442486,-0.22088175880675787,0.3109422313490313,0.20064096213659105,-0.20238183657248918,0.28372625189364314,0.2236422932019591,-0.22378357070872007,0.3149387654680621
is_home,0.07862919206326406,1.0,-0.02949627913404935,-0.001013188907018954,0.0010131889070189321,-0.0014263376118948945,-0.003077263615957501,0.003077263615957448,-0.004332759708090541,-0.019354979089246296,0.019354979089246247,-0.02724756752660261
rest_days,0.0013831204785514511,-0.02949627913404935,1.0,0.001128893212859585,-0.04620942644919267,0.03332074865315715,0.005048216733768968,-0.034050006205915875,0.027524974482613377,0.0021169133711812596,-0.04037137153544324,0.029907095397638774
rolling_win_pct_3,0.22086950246442486,-0.001013188907018954,0.001128893212859585,1.0,-0.009174293090793444,0.7103429781066297,0.5903341099593836,0.001473580710959903,0.41455518493474786,0.8208398371529653,0.008626219799687414,0.57170935919935
opp_rolling_win_pct_3,-0.22088175880675787,0.0010131889070189321,-0.04620942644919267,-0.009174293090793444,1.0,-0.7103429781066302,0.0014735807109597964,0.590334109959385,-0.4145551849347481,0.00862621979968726,0.8208398371529654,-0.5717093591993517
win_pct_diff_3,0.3109422313490313,-0.0014263376118948945,0.03332074865315715,0.7103429781066297,-0.7103429781066302,1.0,0.4144902866626421,-0.41449028666264237,0.5835986244837905,0.5717052483000381,-0.5717052483000375,0.8048356594207534
rolling_off_epa_3,0.20064096213659105,-0.003077263615957501,0.005048216733768968,0.5903341099593836,0.0014735807109597964,0.4144902866626421,1.0,-0.008858347017673457,0.7102317744995901,0.7288105921374671,0.002851656780234153,0.5109955175223355
opp_rolling_off_epa_3,-0.20238183657248918,0.003077263615957448,-0.034050006205915875,0.001473580710959903,0.590334109959385,-0.41449028666264237,-0.008858347017673457,1.0,-0.7102317744995907,0.002851656780234157,0.7288105921374679,-0.5109955175223364
epa_diff_3,0.28372625189364314,-0.004332759708090541,0.027524974482613377,0.41455518493474786,-0.4145551849347481,0.5835986244837905,0.7102317744995901,-0.7102317744995907,1.0,0.5110718510649028,-0.5110718510649033,0.7194771282689653
rolling_point_diff_3,0.2236422932019591,-0.019354979089246296,0.0021169133711812596,0.8208398371529653,0.00862621979968726,0.5717052483000381,0.7288105921374671,0.002851656780234157,0.5110718510649028,1.0,-0.009159780125677822,0.7103378703566626
opp_rolling_point_diff_3,-0.22378357070872007,0.019354979089246247,-0.04037137153544324,0.008626219799687414,0.8208398371529654,-0.5717052483000375,0.002851656780234153,0.7288105921374679,-0.5110718510649033,-0.009159780125677822,1.0,-0.7103378703566634
point_diff_gap_3,0.3149387654680621,-0.02724756752660261,0.029907095397638774,0.57170935919935,-0.5717093591993517,0.8048356594207534,0.5109955175223355,-0.5109955175223364,0.7194771282689653,0.7103378703566626,-0.7103378703566634,1.0
