game_id,season,week,gameday,team,opponent,points_for,points_against,rest_days,is_home,win,offensive_plays,off_epa_per_play,pass_plays,rush_plays,interceptions_thrown,fumbles_lost,pass_rate,turnovers,point_diff,prev_points_for,prev_points_against,prev_win,prev_off_epa_per_play,prev_turnovers,prev_point_diff,rolling_points_for_3,rolling_points_against_3,rolling_win_pct_3,rolling_off_epa_3,rolling_turnovers_3,rolling_point_diff_3,opp_rolling_points_for_3,opp_rolling_points_against_3,opp_rolling_win_pct_3,opp_rolling_off_epa_3,opp_rolling_turnovers_3,opp_rolling_point_diff_3,epa_diff_3,win_pct_diff_3,turnover_diff_3,point_diff_gap_3
2024_01_ARI_BUF,2024,1,2024-09-08,ARI,BUF,28,34,7,0,0,60,0.06333499944819312,35,25,0,1,0.5833333333333334,1,-6,,,,,,,,,,,,,,,,,,,,,,
2024_02_LA_ARI,2024,2,2024-09-15,ARI,LA,41,10,7,1,1,62,0.3468297459864201,22,40,0,1,0.3548387096774194,1,31,28,34,0,0.06333499944819312,1,-6,,,,,,,,,,,,,,,,
2024_03_DET_ARI,2024,3,2024-09-22,ARI,DET,13,20,7,1,0,53,-0.23840536020362937,35,18,1,0,0.660377358490566,1,-7,41,10,1,0.3468297459864201,1,31,,,,,,,,,,,,,,,,
2024_04_WAS_ARI,2024,4,2024-09-29,ARI,WAS,14,42,7,1,0,58,-0.08621050947514394,26,32,0,1,0.4482758620689655,1,-28,13,20,0,-0.23840536020362937,1,-7,27.333333333333332,21.333333333333332,0.3333333333333333,0.05725312841032793,1.0,6.0,26.333333333333332,29.333333333333332,0.6666666666666666,0.26415290011386827,0.0,-3.0,-0.20689977170354035,-0.3333333333333333,1.0,9.0
2024_05_ARI_SF,2024,5,2024-10-06,ARI,SF,24,23,7,0,1,56,0.12357341654668454,31,25,1,0,0.5535714285714286,1,1,14,42,0,-0.08621050947514394,1,-28,22.666666666666668,24.0,0.3333333333333333,0.007404625435882245,1.0,-1.3333333333333333,23.666666666666668,21.0,0.3333333333333333,0.08645927875008357,1.3333333333333333,2.6666666666666665,-0.07905465331420132,0.0,-0.33333333333333326,-4.0
2024_06_ARI_GB,2024,6,2024-10-13,ARI,GB,13,34,7,0,0,55,-0.12452218036849662,32,23,0,3,0.5818181818181818,3,-21,24,23,1,0.12357341654668454,1,1,17.0,28.333333333333332,0.3333333333333333,-0.0670141510440296,1.0,-11.333333333333334,27.666666666666668,21.333333333333332,0.6666666666666666,0.003598419012461433,1.6666666666666667,6.333333333333333,-0.07061257005649102,-0.3333333333333333,-0.6666666666666667,-17.666666666666668
2024_07_LAC_ARI,2024,7,2024-10-21,ARI,LAC,17,15,8,1,1,53,0.03591196748696022,26,27,1,1,0.49056603773584906,2,2,13,34,0,-0.12452218036849662,3,-21,17.0,33.0,0.3333333333333333,-0.02905309109898536,1.6666666666666667,-16.0,14.333333333333334,17.666666666666668,0.3333333333333333,-0.09772189864819286,0.0,-3.3333333333333335,0.0686688075492075,0.0,1.6666666666666667,-12.666666666666666
2024_08_ARI_MIA,2024,8,2024-10-27,ARI,MIA,28,27,6,0,1,62,0.27863852290874985,36,26,0,0,0.5806451612903226,0,1,17,15,1,0.03591196748696022,2,2,18.0,24.0,0.6666666666666666,0.011654401221716027,2.0,-6.0,12.333333333333334,19.0,0.3333333333333333,-0.25826980041930503,1.3333333333333333,-6.666666666666667,0.26992420164102104,0.3333333333333333,0.6666666666666667,0.666666666666667
2024_09_CHI_ARI,2024,9,2024-11-03,ARI,CHI,29,9,7,1,1,57,-0.06949403704706653,23,34,0,2,0.40350877192982454,2,20,28,27,1,0.27863852290874985,0,1,19.333333333333332,25.333333333333332,0.6666666666666666,0.06334277000907114,1.6666666666666667,-6.0,28.666666666666668,14.666666666666666,0.6666666666666666,0.12589885065927853,0.6666666666666666,14.0,-0.06255608065020739,0.0,1.0,-20.0
2024_10_NYJ_ARI,2024,10,2024-11-10,ARI,NYJ,31,6,7,1,1,56,0.375025533842705,25,31,0,0,0.44642857142857145,0,25,29,9,1,-0.06949403704706653,2,20,24.666666666666668,17.0,1.0,0.08168548444954783,1.3333333333333333,7.666666666666667,19.333333333333332,25.0,0.3333333333333333,0.04149739671640842,1.0,-5.666666666666667,0.040188087733139415,0.6666666666666667,0.33333333333333326,13.333333333333334
