game_id,season,week,gameday,team,opponent,points_for,points_against,rest_days,is_home,win,offensive_plays,off_epa_per_play,pass_plays,rush_plays,interceptions_thrown,fumbles_lost,pass_rate,turnovers
2024_02_CHI_HOU,2024,2,2024-09-15,HOU,CHI,19,13,7,1,1,60,-0.1496798627033682,39,21,0,1,0.65,1
2024_02_CIN_KC,2024,2,2024-09-15,CIN,KC,25,26,7,0,0,61,0.045869673695266226,39,22,0,1,0.639344262295082,1
2024_02_CIN_KC,2024,2,2024-09-15,KC,CIN,26,25,10,1,1,60,-0.08461721914130532,28,32,2,1,0.4666666666666667,3
2024_02_CLE_JAX,2024,2,2024-09-15,CLE,JAX,18,13,7,0,1,65,0.022338850429188945,36,29,0,0,0.5538461538461539,0
2024_02_CLE_JAX,2024,2,2024-09-15,JAX,CLE,13,18,7,1,0,54,-0.033992861799752735,33,21,0,0,0.6111111111111112,0
2024_02_IND_GB,2024,2,2024-09-15,GB,IND,16,10,9,1,1,67,-0.0020821109139091618,14,53,0,1,0.208955223880597,1
2024_02_IND_GB,2024,2,2024-09-15,IND,GB,10,16,7,0,0,52,-0.09569395278910905,34,18,3,0,0.6538461538461539,3
2024_02_LAC_CAR,2024,2,2024-09-15,CAR,LAC,3,26,7,1,0,46,-0.49061755547000496,28,18,1,0,0.6086956521739131,1
2024_02_LAC_CAR,2024,2,2024-09-15,LAC,CAR,26,3,7,0,1,62,0.11135080133706401,21,41,1,1,0.3387096774193548,2
2024_02_LA_ARI,2024,2,2024-09-15,ARI,LA,41,10,7,1,1,62,0.3468297459864201,22,40,0,1,0.3548387096774194,1
2024_02_LA_ARI,2024,2,2024-09-15,LA,ARI,10,41,7,0,0,52,-0.26304207862079354,32,20,0,1,0.6153846153846154,1
2024_02_LV_BAL,2024,2,2024-09-15,BAL,LV,23,26,10,1,0,61,-0.010843661948616447,34,27,1,0,0.5573770491803278,1
2024_02_LV_BAL,2024,2,2024-09-15,LV,BAL,26,23,7,0,1,59,-0.16523290203071855,43,16,1,0,0.7288135593220338,1
2024_02_NO_DAL,2024,2,2024-09-15,DAL,NO,19,44,7,1,0,65,-0.17185714665842478,44,21,2,0,0.676923076923077,2
2024_02_NO_DAL,2024,2,2024-09-15,NO,DAL,44,19,7,0,1,53,0.46125246332746656,17,36,1,0,0.32075471698113206,1
2024_02_NYG_WAS,2024,2,2024-09-15,NYG,WAS,18,21,7,0,0,53,0.09884589799967998,31,22,0,1,0.5849056603773585,1
2024_02_NYG_WAS,2024,2,2024-09-15,WAS,NYG,21,18,7,1,1,67,0.15648809882807774,34,33,0,0,0.5074626865671642,0
2024_02_NYJ_TEN,2024,2,2024-09-15,NYJ,TEN,24,17,6,0,1,55,0.03564904499543735,32,23,0,0,0.5818181818181818,0
2024_02_NYJ_TEN,2024,2,2024-09-15,TEN,NYJ,17,24,7,1,0,60,-0.08954142496916567,32,28,1,1,0.5333333333333333,2
2024_02_PIT_DEN,2024,2,2024-09-15,DEN,PIT,6,13,7,1,0,56,-0.24311708793496725,37,19,2,0,0.6607142857142857,2
2024_02_PIT_DEN,2024,2,2024-09-15,PIT,DEN,13,6,7,0,1,58,-0.12062742783946155,22,36,0,0,0.3793103448275862,0
2024_02_SEA_NE,2024,2,2024-09-15,NE,SEA,20,23,7,1,0,66,0.05643542399823568,30,36,0,0,0.45454545454545453,0
2024_02_SEA_NE,2024,2,2024-09-15,SEA,NE,23,20,7,0,1,64,0.02222977426838338,46,18,0,0,0.71875,0
2024_02_SF_MIN,2024,2,2024-09-15,MIN,SF,23,17,7,1,1,51,-0.04221357132373667,29,22,1,1,0.5686274509803921,2
2024_02_SF_MIN,2024,2,2024-09-15,SF,MIN,17,23,6,0,0,67,-0.07448402445985963,42,25,1,1,0.6268656716417911,2
2024_02_TB_DET,2024,2,2024-09-15,DET,TB,16,20,7,1,0,82,-0.06947292027417651,55,27,2,0,0.6707317073170732,2
2024_02_TB_DET,2024,2,2024-09-15,TB,DET,20,16,7,0,1,46,-0.09997592314016007,24,22,1,0,0.5217391304347826,1
2024_03_BAL_DAL,2024,3,2024-09-22,BAL,DAL,28,25,7,0,1,58,0.37345552815082994,15,43,0,0,0.25862068965517243,0
2024_03_BAL_DAL,2024,3,2024-09-22,DAL,BAL,25,28,7,1,0,72,0.0061805209034083465,56,16,0,1,0.7777777777777778,1
2024_03_CAR_LV,2024,3,2024-09-22,CAR,LV,36,22,7,0,1,69,0.2018615480162518,40,29,0,0,0.5797101449275363,0
2024_03_CAR_LV,2024,3,2024-09-22,LV,CAR,22,36,7,1,0,60,-0.0830609448607849,44,16,1,0,0.7333333333333333,1
2024_03_CHI_IND,2024,3,2024-09-22,CHI,IND,16,21,7,0,0,84,-0.2015746309292614,56,28,2,1,0.6666666666666666,3
2024_03_CHI_IND,2024,3,2024-09-22,IND,CHI,21,16,7,1,1,51,-0.21308674622788185,21,30,2,0,0.4117647058823529,2
2024_03_DEN_TB,2024,3,2024-09-22,DEN,TB,26,7,7,0,1,63,0.08453726114317775,36,27,0,1,0.5714285714285714,1
2024_03_DEN_TB,2024,3,2024-09-22,TB,DEN,7,26,7,1,0,56,-0.3762474080342924,40,16,1,1,0.7142857142857143,2
2024_03_DET_ARI,2024,3,2024-09-22,ARI,DET,13,20,7,1,0,53,-0.23840536020362937,35,18,1,0,0.660377358490566,1
2024_03_DET_ARI,2024,3,2024-09-22,DET,ARI,20,13,7,0,1,66,0.044779570458393377,25,41,1,0,0.3787878787878788,1
2024_03_GB_TEN,2024,3,2024-09-22,GB,TEN,30,14,7,0,1,59,0.11607764740370291,22,37,0,0,0.3728813559322034,0
2024_03_GB_TEN,2024,3,2024-09-22,TEN,GB,14,30,7,1,0,53,-0.36721780175400265,42,11,2,1,0.7924528301886793,3
2024_03_HOU_MIN,2024,3,2024-09-22,HOU,MIN,7,34,7,0,0,62,-0.2187582247317415,48,14,2,0,0.7741935483870968,2
2024_03_HOU_MIN,2024,3,2024-09-22,MIN,HOU,34,7,7,1,1,59,0.10881717221105347,32,27,0,0,0.5423728813559322,0
