game_id,season,week,gameday,team,opponent,points_for,points_against,rest_days,is_home,win
2024_03_GB_TEN,2024,3,2024-09-22,TEN,GB,14,30,7,1,0
2024_03_HOU_MIN,2024,3,2024-09-22,HOU,MIN,7,34,7,0,0
2024_03_HOU_MIN,2024,3,2024-09-22,MIN,HOU,34,7,7,1,1
2024_03_JAX_BUF,2024,3,2024-09-23,BUF,JAX,47,10,11,1,1
2024_03_JAX_BUF,2024,3,2024-09-23,JAX,BUF,10,47,8,0,0
2024_03_KC_ATL,2024,3,2024-09-22,ATL,KC,17,22,6,1,0
2024_03_KC_ATL,2024,3,2024-09-22,KC,ATL,22,17,7,0,1
2024_03_LAC_PIT,2024,3,2024-09-22,LAC,PIT,10,20,7,0,0
2024_03_LAC_PIT,2024,3,2024-09-22,PIT,LAC,20,10,7,1,1
2024_03_MIA_SEA,2024,3,2024-09-22,MIA,SEA,3,24,10,0,0
2024_03_MIA_SEA,2024,3,2024-09-22,SEA,MIA,24,3,7,1,1
2024_03_NE_NYJ,2024,3,2024-09-19,NE,NYJ,3,24,4,0,0
2024_03_NE_NYJ,2024,3,2024-09-19,NYJ,NE,24,3,4,1,1
2024_03_NYG_CLE,2024,3,2024-09-22,CLE,NYG,15,21,7,1,0
2024_03_NYG_CLE,2024,3,2024-09-22,NYG,CLE,21,15,7,0,1
2024_03_PHI_NO,2024,3,2024-09-22,NO,PHI,12,15,7,1,0
2024_03_PHI_NO,2024,3,2024-09-22,PHI,NO,15,12,6,0,1
2024_03_SF_LA,2024,3,2024-09-22,LA,SF,27,24,7,1,1
2024_03_SF_LA,2024,3,2024-09-22,SF,LA,24,27,7,0,0
2024_03_WAS_CIN,2024,3,2024-09-23,CIN,WAS,33,38,8,1,0
2024_03_WAS_CIN,2024,3,2024-09-23,WAS,CIN,38,33,8,0,1
2024_04_BUF_BAL,2024,4,2024-09-29,BAL,BUF,35,10,7,1,1
2024_04_BUF_BAL,2024,4,2024-09-29,BUF,BAL,10,35,6,0,0
2024_04_CIN_CAR,2024,4,2024-09-29,CAR,CIN,24,34,7,1,0
2024_04_CIN_CAR,2024,4,2024-09-29,CIN,CAR,34,24,6,0,1
2024_04_CLE_LV,2024,4,2024-09-29,CLE,LV,16,20,7,0,0
2024_04_CLE_LV,2024,4,2024-09-29,LV,CLE,20,16,7,1,1
2024_04_DAL_NYG,2024,4,2024-09-26,DAL,NYG,20,15,4,0,1
2024_04_DAL_NYG,2024,4,2024-09-26,NYG,DAL,15,20,4,1,0
2024_04_DEN_NYJ,2024,4,2024-09-29,DEN,NYJ,10,9,7,0,1
2024_04_DEN_NYJ,2024,4,2024-09-29,NYJ,DEN,9,10,10,1,0
2024_04_JAX_HOU,2024,4,2024-09-29,HOU,JAX,24,20,7,1,1
2024_04_JAX_HOU,2024,4,2024-09-29,JAX,HOU,20,24,6,0,0
2024_04_KC_LAC,2024,4,2024-09-29,KC,LAC,17,10,7,0,1
2024_04_KC_LAC,2024,4,2024-09-29,LAC,KC,10,17,7,1,0
2024_04_LA_CHI,2024,4,2024-09-29,CHI,LA,24,18,7,1,1
2024_04_LA_CHI,2024,4,2024-09-29,LA,CHI,18,24,7,0,0
2024_04_MIN_GB,2024,4,2024-09-29,GB,MIN,29,31,7,1,0
2024_04_MIN_GB,2024,4,2024-09-29,MIN,GB,31,29,7,0,1
2024_04_NE_SF,2024,4,2024-09-29,NE,SF,13,30,10,0,0
2024_04_NE_SF,2024,4,2024-09-29,SF,NE,30,13,7,1,1
2024_04_NO_ATL,2024,4,2024-09-29,ATL,NO,26,24,7,1,1
2024_04_NO_ATL,2024,4,2024-09-29,NO,ATL,24,26,7,0,0
2024_04_PHI_TB,2024,4,2024-09-29,PHI,TB,16,33,7,0,0
2024_04_PHI_TB,2024,4,2024-09-29,TB,PHI,33,16,7,1,1
2024_04_PIT_IND,2024,4,2024-09-29,IND,PIT,27,24,7,1,1
2024_04_PIT_IND,2024,4,2024-09-29,PIT,IND,24,27,7,0,0
2024_04_SEA_DET,2024,4,2024-09-30,DET,SEA,42,29,8,1,1
2024_04_SEA_DET,2024,4,2024-09-30,SEA,DET,29,42,8,0,0
2024_04_TEN_MIA,2024,4,2024-09-30,MIA,TEN,12,31,8,1,0
2024_04_TEN_MIA,2024,4,2024-09-30,TEN,MIA,31,12,8,0,1
2024_04_WAS_ARI,2024,4,2024-09-29,ARI,WAS,14,42,7,1,0
2024_04_WAS_ARI,2024,4,2024-09-29,WAS,ARI,42,14,6,0,1
2024_05_ARI_SF,2024,5,2024-10-06,ARI,SF,24,23,7,0,1
2024_05_ARI_SF,2024,5,2024-10-06,SF,ARI,23,24,7,1,0
2024_05_BAL_CIN,2024,5,2024-10-06,BAL,CIN,41,38,7,0,1
2024_05_BAL_CIN,2024,5,2024-10-06,CIN,BAL,38,41,7,1,0
2024_05_BUF_HOU,2024,5,2024-10-06,BUF,HOU,20,23,7,0,0
2024_05_BUF_HOU,2024,5,2024-10-06,HOU,BUF,23,20,7,1,1
2024_05_CAR_CHI,2024,5,2024-10-06,CAR,CHI,10,36,7,0,0
2024_05_CAR_CHI,2024,5,2024-10-06,CHI,CAR,36,10,7,1,1
2024_05_CLE_WAS,2024,5,2024-10-06,CLE,WAS,13,34,7,0,0
2024_05_CLE_WAS,2024,5,2024-10-06,WAS,CLE,34,13,7,1,1
2024_05_DAL_PIT,2024,5,2024-10-06,DAL,PIT,20,17,10,0,1
2024_05_DAL_PIT,2024,5,2024-10-06,PIT,DAL,17,20,7,1,0
2024_05_GB_LA,2024,5,2024-10-06,GB,LA,24,19,7,0,1
2024_05_GB_LA,2024,5,2024-10-06,LA,GB,19,24,7,1,0
2024_05_IND_JAX,2024,5,2024-10-06,IND,JAX,34,37,7,0,0
2024_05_IND_JAX,2024,5,2024-10-06,JAX,IND,37,34,7,1,1
2024_05_LV_DEN,2024,5,2024-10-06,DEN,LV,34,18,7,1,1
2024_05_LV_DEN,2024,5,2024-10-06,LV,DEN,18,34,7,0,0
2024_05_MIA_NE,2024,5,2024-10-06,MIA,NE,15,10,6,0,1
2024_05_MIA_NE,2024,5,2024-10-06,NE,MIA,10,15,7,1,0
2024_05_NO_KC,2024,5,2024-10-07,KC,NO,26,13,8,1,1
2024_05_NO_KC,2024,5,2024-10-07,NO,KC,13,26,8,0,0
2024_05_NYG_SEA,2024,5,2024-10-06,NYG,SEA,29,20,10,0,1
2024_05_NYG_SEA,2024,5,2024-10-06,SEA,NYG,20,29,6,1,0
2024_05_NYJ_MIN,2024,5,2024-10-06,MIN,NYJ,23,17,7,1,1
2024_05_NYJ_MIN,2024,5,2024-10-06,NYJ,MIN,17,23,7,0,0
2024_05_TB_ATL,2024,5,2024-10-03,ATL,TB,36,30,4,1,1
2024_05_TB_ATL,2024,5,2024-10-03,TB,ATL,30,36,4,0,0
2024_06_ARI_GB,2024,6,2024-10-13,ARI,GB,13,34,7,0,0
2024_06_ARI_GB,2024,6,2024-10-13,GB,ARI,34,13,7,1,1
2024_06_ATL_CAR,2024,6,2024-10-13,ATL,CAR,38,20,10,0,1
2024_06_ATL_CAR,2024,6,2024-10-13,CAR,ATL,20,38,7,1,0
2024_06_BUF_NYJ,2024,6,2024-10-14,BUF,NYJ,23,20,8,0,1
2024_06_BUF_NYJ,2024,6,2024-10-14,NYJ,BUF,20,23,8,1,0
2024_06_CIN_NYG,2024,6,2024-10-13,CIN,NYG,17,7,7,0,1
2024_06_CIN_NYG,2024,6,2024-10-13,NYG,CIN,7,17,7,1,0
2024_06_CLE_PHI,2024,6,2024-10-13,CLE,PHI,16,20,7,0,0
2024_06_CLE_PHI,2024,6,2024-10-13,PHI,CLE,20,16,14,1,1
2024_06_DET_DAL,2024,6,2024-10-13,DAL,DET,9,47,7,1,0
2024_06_DET_DAL,2024,6,2024-10-13,DET,DAL,47,9,13,0,1
2024_06_HOU_NE,2024,6,2024-10-13,HOU,NE,41,21,7,0,1
2024_06_HOU_NE,2024,6,2024-10-13,NE,HOU,21,41,7,1,0
2024_06_IND_TEN,2024,6,2024-10-13,IND,TEN,20,17,7,0,1
2024_06_IND_TEN,2024,6,2024-10-13,TEN,IND,17,20,13,1,0
2024_06_JAX_CHI,2024,6,2024-10-13,CHI,JAX,35,16,7,1,1
2024_06_JAX_CHI,2024,6,2024-10-13,JAX,CHI,16,35,7,0,0
2024_06_LAC_DEN,2024,6,2024-10-13,DEN,LAC,16,23,7,1,0
2024_06_LAC_DEN,2024,6,2024-10-13,LAC,DEN,23,16,14,0,1
2024_06_PIT_LV,2024,6,2024-10-13,LV,PIT,13,32,7,1,0
2024_06_PIT_LV,2024,6,2024-10-13,PIT,LV,32,13,7,0,1
2024_06_SF_SEA,2024,6,2024-10-10,SEA,SF,24,36,4,1,0
2024_06_SF_SEA,2024,6,2024-10-10,SF,SEA,36,24,4,0,1
2024_06_TB_NO,2024,6,2024-10-13,NO,TB,27,51,6,1,0
2024_06_TB_NO,2024,6,2024-10-13,TB,NO,51,27,10,0,1
2024_06_WAS_BAL,2024,6,2024-10-13,BAL,WAS,30,23,7,1,1
2024_06_WAS_BAL,2024,6,2024-10-13,WAS,BAL,23,30,7,0,0
2024_07_BAL_TB,2024,7,2024-10-21,BAL,TB,41,31,8,0,1
2024_07_BAL_TB,2024,7,2024-10-21,TB,BAL,31,41,8,1,0
2024_07_CAR_WAS,2024,7,2024-10-20,CAR,WAS,7,40,7,0,0
2024_07_CAR_WAS,2024,7,2024-10-20,WAS,CAR,40,7,7,1,1
2024_07_CIN_CLE,2024,7,2024-10-20,CIN,CLE,21,14,7,0,1
2024_07_CIN_CLE,2024,7,2024-10-20,CLE,CIN,14,21,7,1,0
2024_07_DEN_NO,2024,7,2024-10-17,DEN,NO,33,10,4,0,1
2024_07_DEN_NO,2024,7,2024-10-17,NO,DEN,10,33,4,1,0
2024_07_DET_MIN,2024,7,2024-10-20,DET,MIN,31,29,7,0,1
2024_07_DET_MIN,2024,7,2024-10-20,MIN,DET,29,31,14,1,0
2024_07_HOU_GB,2024,7,2024-10-20,GB,HOU,24,22,7,1,1
2024_07_HOU_GB,2024,7,2024-10-20,HOU,GB,22,24,7,0,0
2024_07_KC_SF,2024,7,2024-10-20,KC,SF,28,18,13,0,1
2024_07_KC_SF,2024,7,2024-10-20,SF,KC,18,28,10,1,0
2024_07_LAC_ARI,2024,7,2024-10-21,ARI,LAC,17,15,8,1,1
2024_07_LAC_ARI,2024,7,2024-10-21,LAC,ARI,15,17,8,0,0
2024_07_LV_LA,2024,7,2024-10-20,LA,LV,20,15,14,1,1
2024_07_LV_LA,2024,7,2024-10-20,LV,LA,15,20,7,0,0
2024_07_MIA_IND,2024,7,2024-10-20,IND,MIA,16,10,7,1,1
2024_07_MIA_IND,2024,7,2024-10-20,MIA,IND,10,16,14,0,0
2024_07_NE_JAX,2024,7,2024-10-20,JAX,NE,32,16,7,1,1
2024_07_NE_JAX,2024,7,2024-10-20,NE,JAX,16,32,7,0,0
2024_07_NYJ_PIT,2024,7,2024-10-20,NYJ,PIT,15,37,6,0,0
2024_07_NYJ_PIT,2024,7,2024-10-20,PIT,NYJ,37,15,7,1,1
2024_07_PHI_NYG,2024,7,2024-10-20,NYG,PHI,3,28,7,1,0
2024_07_PHI_NYG,2024,7,2024-10-20,PHI,NYG,28,3,7,0,1
2024_07_SEA_ATL,2024,7,2024-10-20,ATL,SEA,14,34,7,1,0
2024_07_SEA_ATL,2024,7,2024-10-20,SEA,ATL,34,14,10,0,1
2024_07_TEN_BUF,2024,7,2024-10-20,BUF,TEN,34,10,6,1,1
2024_07_TEN_BUF,2024,7,2024-10-20,TEN,BUF,10,34,7,0,0
2024_08_ARI_MIA,2024,8,2024-10-27,ARI,MIA,28,27,6,0,1
2024_08_ARI_MIA,2024,8,2024-10-27,MIA,ARI,27,28,7,1,0
2024_08_ATL_TB,2024,8,2024-10-27,ATL,TB,31,26,7,0,1
2024_08_ATL_TB,2024,8,2024-10-27,TB,ATL,26,31,6,1,0
2024_08_BAL_CLE,2024,8,2024-10-27,BAL,CLE,24,29,6,0,0
2024_08_BAL_CLE,2024,8,2024-10-27,CLE,BAL,29,24,7,1,1
2024_08_BUF_SEA,2024,8,2024-10-27,BUF,SEA,31,10,7,0,1
2024_08_BUF_SEA,2024,8,2024-10-27,SEA,BUF,10,31,7,1,0
2024_08_CAR_DEN,2024,8,2024-10-27,CAR,DEN,14,28,7,0,0
2024_08_CAR_DEN,2024,8,2024-10-27,DEN,CAR,28,14,10,1,1
2024_08_CHI_WAS,2024,8,2024-10-27,CHI,WAS,15,18,14,0,0
2024_08_CHI_WAS,2024,8,2024-10-27,WAS,CHI,18,15,7,1,1
2024_08_DAL_SF,2024,8,2024-10-27,DAL,SF,24,30,14,0,0
2024_08_DAL_SF,2024,8,2024-10-27,SF,DAL,30,24,7,1,1
2024_08_GB_JAX,2024,8,2024-10-27,GB,JAX,30,27,7,0,1
2024_08_GB_JAX,2024,8,2024-10-27,JAX,GB,27,30,7,1,0
2024_08_IND_HOU,2024,8,2024-10-27,HOU,IND,23,20,7,1,1
2024_08_IND_HOU,2024,8,2024-10-27,IND,HOU,20,23,7,0,0
2024_08_KC_LV,2024,8,2024-10-27,KC,LV,27,20,7,0,1
2024_08_KC_LV,2024,8,2024-10-27,LV,KC,20,27,7,1,0
2024_08_MIN_LA,2024,8,2024-10-24,LA,MIN,30,20,4,1,1
2024_08_MIN_LA,2024,8,2024-10-24,MIN,LA,20,30,4,0,0
2024_08_NO_LAC,2024,8,2024-10-27,LAC,NO,26,8,6,1,1
2024_08_NO_LAC,2024,8,2024-10-27,NO,LAC,8,26,10,0,0
2024_08_NYG_PIT,2024,8,2024-10-28,NYG,PIT,18,26,8,0,0
2024_08_NYG_PIT,2024,8,2024-10-28,PIT,NYG,26,18,8,1,1
2024_08_NYJ_NE,2024,8,2024-10-27,NE,NYJ,25,22,7,1,1
2024_08_NYJ_NE,2024,8,2024-10-27,NYJ,NE,22,25,7,0,0
2024_08_PHI_CIN,2024,8,2024-10-27,CIN,PHI,17,37,7,1,0
2024_08_PHI_CIN,2024,8,2024-10-27,PHI,CIN,37,17,7,0,1
2024_08_TEN_DET,2024,8,2024-10-27,DET,TEN,52,14,7,1,1
2024_08_TEN_DET,2024,8,2024-10-27,TEN,DET,14,52,7,0,0
2024_09_CHI_ARI,2024,9,2024-11-03,ARI,CHI,29,9,7,1,1
2024_09_CHI_ARI,2024,9,2024-11-03,CHI,ARI,9,29,7,0,0
2024_09_DAL_ATL,2024,9,2024-11-03,ATL,DAL,27,21,7,1,1
2024_09_DAL_ATL,2024,9,2024-11-03,DAL,ATL,21,27,7,0,0
2024_09_DEN_BAL,2024,9,2024-11-03,BAL,DEN,41,10,7,1,1
2024_09_DEN_BAL,2024,9,2024-11-03,DEN,BAL,10,41,7,0,0
2024_09_DET_GB,2024,9,2024-11-03,DET,GB,24,14,7,0,1
2024_09_DET_GB,2024,9,2024-11-03,GB,DET,14,24,7,1,0
2024_09_HOU_NYJ,2024,9,2024-10-31,HOU,NYJ,13,21,4,0,0
2024_09_HOU_NYJ,2024,9,2024-10-31,NYJ,HOU,21,13,4,1,1
2024_09_IND_MIN,2024,9,2024-11-03,IND,MIN,13,21,7,0,0
2024_09_IND_MIN,2024,9,2024-11-03,MIN,IND,21,13,10,1,1
2024_09_JAX_PHI,2024,9,2024-11-03,JAX,PHI,23,28,7,0,0
2024_09_JAX_PHI,2024,9,2024-11-03,PHI,JAX,28,23,7,1,1
2024_09_LAC_CLE,2024,9,2024-11-03,CLE,LAC,10,27,7,1,0
2024_09_LAC_CLE,2024,9,2024-11-03,LAC,CLE,27,10,7,0,1
2024_09_LA_SEA,2024,9,2024-11-03,LA,SEA,26,20,10,0,1
2024_09_LA_SEA,2024,9,2024-11-03,SEA,LA,20,26,7,1,0
2024_09_LV_CIN,2024,9,2024-11-03,CIN,LV,41,24,7,1,1
2024_09_LV_CIN,2024,9,2024-11-03,LV,CIN,24,41,7,0,0
2024_09_MIA_BUF,2024,9,2024-11-03,BUF,MIA,30,27,7,1,1
2024_09_MIA_BUF,2024,9,2024-11-03,MIA,BUF,27,30,7,0,0
2024_09_NE_TEN,2024,9,2024-11-03,NE,TEN,17,20,7,0,0
2024_09_NE_TEN,2024,9,2024-11-03,TEN,NE,20,17,7,1,1
2024_09_NO_CAR,2024,9,2024-11-03,CAR,NO,23,22,7,1,1
2024_09_NO_CAR,2024,9,2024-11-03,NO,CAR,22,23,7,0,0
